FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,WORKDAY_OPER_TIME_DC,WKEND_OPER_TIME_DC,FRE_PARKNG_AT,VALET_PARKNG_POSBL_AT,INFN_CHAIR_LEND_POSBL_AT,WCHAIR_HOLD_AT,PET_POSBL_AT,VGTR_MENU_HOLD_AT,HALAL_FOOD_HOLD_AT,GFRE_FOOD_HOLD_AT,LAST_UPDT_DE
잇플레이트 병점점,음식점/유흥시설,유럽음식,이탈리아,경기도,화성시,병점동,,844-1 번지,효행로,1052,37.214073,127.042582,18405,경기도 화성시 효행로 1052,경기도 화성시 병점동  844-1,050714072126,월-금 11시-20시50분,토-일 11시-20시50분,N,N,N,N,N,N,N,N,20221130
자가제빵선명희피자 구리다산점,음식점/유흥시설,유럽음식,이탈리아,경기도,남양주시,다산동,,4001-29 번지,도농로,24,37.608806,127.158584,12256,경기도 남양주시 도농로 24,경기도 남양주시 다산동  4001-29,050714871577,11시-22시30분,11시-22시30분,Y,N,N,N,N,N,N,N,20221130
자가제빵선명희피자 수원정자점,음식점/유흥시설,유럽음식,이탈리아,경기도,수원시 장안구,정자동,,872-2 번지,대평로90번길,19,37.297287,126.993891,16334,경기도 수원시 장안구 대평로90번길 19,경기도 수원시 장안구 정자동  872-2,050714456787,11시30분-22시,11시-23시50분,N,N,N,N,N,N,N,N,20221130
자라,음식점/유흥시설,동아시아음식,일본,광주광역시,동구,불로동,,121 번지,서석로,24,35.145591,126.916528,61488,광주광역시 동구 서석로 24,광주광역시 동구 불로동  121,0622278617,18시-03시,18시-03시,Y,N,N,N,N,N,N,N,20221130
자락,음식점/유흥시설,동남아시아음식,인도,서울특별시,서대문구,충정로3가,,3-95 번지,경기대로9길,77,37.564383,126.959856,03752,서울특별시 서대문구 경기대로9길 77,서울특별시 서대문구 충정로3가  3-95,050714887959,월-금 11시-20시,토 11시-20시,N,N,N,N,N,N,N,N,20221130
자르뎅페르뒤,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,역삼동,,662-9 번지,언주로,541,37.506254,127.040434,06138,서울특별시 강남구 언주로 541,서울특별시 강남구 역삼동  662-9,025200900,월-금 12시-22시30분,토 12시-22시30분,Y,N,N,N,N,N,N,N,20221130
자매감자탕,음식점/유흥시설,유럽음식,이탈리아,충청남도,공주시,신관동,,592-19 번지,전막1길,6-23,36.470878,127.129222,32573,충청남도 공주시 전막1길 6-23,충청남도 공주시 신관동  592-19,0418550551,,,N,N,N,N,N,N,N,N,20221130
자미더홍,음식점/유흥시설,동남아시아음식,인도,서울특별시,종로구,동숭동,,1-40 번지,동숭길,129,37.583462,127.003023,03086,서울특별시 종로구 동숭길 129,서울특별시 종로구 동숭동  1-40,,화-금 11시30분-22시,토 11시30분-22시,N,N,N,N,N,N,N,N,20221130
자스민,음식점/유흥시설,유럽음식,이탈리아,울산광역시,북구,진장동,,1004-14 번지,명촌23길,44,35.557199,129.355254,44254,울산광역시 북구 명촌23길 44,울산광역시 북구 진장동  1004-14,,,,N,N,N,N,N,N,N,N,20221130
자연채월남쌈,음식점/유흥시설,동남아시아음식,인도,경기도,안산시 단원구,고잔동,,705-7 번지,광덕3로,135-4,37.313011,126.82815,15461,경기도 안산시 단원구 광덕3로 135-4,경기도 안산시 단원구 고잔동  705-7,050714643461,월-금 11시-21시30분,토-일 11시-21시30분,N,N,N,N,N,N,N,N,20221130
자인야식당,음식점/유흥시설,동남아시아음식,인도,경상북도,영주시,영주동,,549-9 번지,중앙로81번길,31,36.823614,128.623286,36096,경상북도 영주시 중앙로81번길 31,경상북도 영주시 영주동  549-9,,,,N,N,N,N,N,N,N,N,20221130
자작나무,음식점/유흥시설,유럽음식,이탈리아,경기도,용인시 기흥구,보라동,,580-3 번지,한보라2로,17,37.254312,127.111583,17079,경기도 용인시 기흥구 한보라2로 17,경기도 용인시 기흥구 보라동  580-3,0312862026,월-금 10시-20시,토-일 10시-20시,N,N,N,N,N,N,N,N,20221130
자코비 버거,음식점/유흥시설,북미음식,미국,서울특별시,용산구,용산동2가,,45-6 번지,신흥로,38,37.541812,126.987416,04339,서울특별시 용산구 신흥로 38,서울특별시 용산구 용산동2가 45-6,0237850433,월-금 11시-01시,토-일 11시-01시,N,N,N,N,N,N,N,N,20221130
자파브루어리,음식점/유흥시설,유럽음식,기타,서울특별시,성동구,성수동2가,,322-4 번지,성수이로14길,14,37.541626,127.05701,04784,서울특별시 성동구 성수이로14길 14,서울특별시 성동구 성수동2가  322-4,024623918,수-금 11시30분-21시,토-일 12시30분-21시,N,N,N,N,N,N,N,N,20221130
자하연,음식점/유흥시설,유럽음식,이탈리아,제주특별자치도,서귀포시,표선면,하천리,2011 번지,번영로,3113,33.368821,126.814432,63627,제주특별자치도 서귀포시 번영로 3113,제주특별자치도 서귀포시 표선면 하천리 2011,050714227884,월-금 08시-23시,토-일 08시-23시,Y,N,N,N,N,N,N,N,20221130
작가부엌1294,음식점/유흥시설,동남아시아음식,인도,부산광역시,중구,동광동4가,,9-1 번지,대청로131번길,6-1,35.103285,129.034362,48932,부산광역시 중구 대청로131번길 6-1,부산광역시 중구 동광동4가  9-1,,,,N,N,N,N,N,N,N,N,20221130
작은 인디아,음식점/유흥시설,인도아시아음식,인도 아시아,서울특별시,종로구,인사동,,183 번지,인사동길,27,37.573066,126.985999,03149,서울특별시 종로구 인사동길 27,서울특별시 종로구 인사동 183,027305528,월-금 10시30분-23시20분,토-일 10시30분-23시20분,N,N,N,N,N,N,N,N,20221130
작은나폴리,음식점/유흥시설,유럽음식,이탈리아,서울특별시,서대문구,연희동,,133-30 번지,증가로,13-9,37.569147,126.931129,03703,서울특별시 서대문구 증가로 13-9,서울특별시 서대문구 연희동  133-30,,,,N,N,N,N,N,N,N,N,20221130
