FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,WORKDAY_OPER_TIME_DC,WKEND_OPER_TIME_DC,FRE_PARKNG_AT,VALET_PARKNG_POSBL_AT,INFN_CHAIR_LEND_POSBL_AT,WCHAIR_HOLD_AT,PET_POSBL_AT,VGTR_MENU_HOLD_AT,HALAL_FOOD_HOLD_AT,GFRE_FOOD_HOLD_AT,LAST_UPDT_DE
마레첼로,음식점/유흥시설,유럽음식,이탈리아,전라남도,여수시,수정동,,772 번지,오동도로,111,34.742208,127.754429,59723,전라남도 여수시 오동도로 111,전라남도 여수시 수정동  772,0616605860,06시30분-24시,06시30분-24시,Y,N,N,N,N,N,N,N,20221130
마르,음식점/유흥시설,유럽음식,이탈리아,경기도,시흥시,산현동,,284-6 번지,금화로202번길,166,37.377616,126.832722,14990,경기도 시흥시 금화로202번길 166,경기도 시흥시 산현동  284-6,0314113557,11시-21시,11시-21시,Y,N,N,N,N,N,N,N,20221130
마르르,음식점/유흥시설,동아시아음식,중국,경기도,성남시 분당구,서현동,,255-1 번지,서현로,170,37.388989,127.122531,13590,경기도 성남시 분당구 서현로 170,경기도 성남시 분당구 서현동 255-1 풍림아이원플러스,07050011840,월-금 11시30분-21시30분,휴무,Y,N,N,N,N,N,N,N,20221130
마르첼로,음식점/유흥시설,유럽음식,이탈리아,울산광역시,남구,삼산동,,1377-7 번지,번영로250번길,7-28,35.548763,129.324453,44696,울산광역시 남구 번영로250번길 7-28,울산광역시 남구 삼산동  1377-7,0522719292,,,N,N,N,N,N,N,N,N,20221130
마리나그란데,음식점/유흥시설,유럽음식,이탈리아,경기도,수원시 영통구,이의동,,1263-10 번지,대학1로58번길,13,37.298802,127.045684,16226,경기도 수원시 영통구 대학1로58번길 13,경기도 수원시 영통구 이의동  1263-10,0312123902,11시-21시,토 11시-21시,N,N,N,N,N,N,N,N,20221130
마리데키친,음식점/유흥시설,남미음식,멕시코,인천광역시,동구,창영동,,4-1 번지,금곡로,8-1,37.472479,126.636544,22554,인천광역시 동구 금곡로 8-1,인천광역시 동구 창영동  4-1,07045594519,화-금 11시30분-20시30분,11시30분-20시30분,Y,N,N,N,N,N,N,N,20221130
마리또에몰리에,음식점/유흥시설,유럽음식,이탈리아,서울특별시,용산구,한남동,,68-21 번지,한남대로18길,27,37.53475,127.00868,04419,서울특별시 용산구 한남대로18길 27,서울특별시 용산구 한남동  68-21,027977970,12시-23시,12시-23시,N,N,N,N,N,N,N,N,20221130
마리스포,음식점/유흥시설,동남아시아음식,베트남,충청남도,당진시,읍내동,,1024 번지,무수동4길,42,36.892521,126.639468,31772,충청남도 당진시 무수동4길 42,충청남도 당진시 읍내동  1024,0413524248,11시-21시,토 11시-21시,N,N,N,N,N,N,N,N,20221130
마리에뜨비스트로,음식점/유흥시설,유럽음식,이탈리아,경기도,성남시 분당구,야탑동,,757 번지,성남대로,808,37.401301,127.129571,13514,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동  757,0317012681,,,N,N,N,N,N,N,N,N,20221130
마리오,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,신사동,,653-19 번지,도산대로49길,20,37.524178,127.037413,06019,서울특별시 강남구 도산대로49길 20,서울특별시 강남구 신사동  653-19,025148003,11시30분-02시,11시30분-02시,N,N,N,N,N,N,N,N,20221130
마리오피자 범어점,음식점/유흥시설,유럽음식,이탈리아,대구광역시,수성구,범어동,,139-4 번지,범어로,83,35.856955,128.635697,42094,대구광역시 수성구 범어로 83,대구광역시 수성구 범어동  139-4,0537421028,11시-23시,11시-23시,N,N,N,N,N,N,N,N,20221130
마린,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,도곡동,,423-10 번지,논현로26길,41,37.483894,127.045438,06300,서울특별시 강남구 논현로26길 41,서울특별시 강남구 도곡동  423-10,0269254895,수-금 11시-22시,토-일 11시-22시,Y,N,N,N,N,N,N,N,20221130
마린데크,음식점/유흥시설,유럽음식,이탈리아,강원도,삼척시,교동,,86-3 번지,새천년도로,326,37.456726,129.186045,25910,강원도 삼척시 새천년도로 326,강원도 삼척시 교동 86-3 마린데크,0335732055,10시-20시,10시-20시,N,N,N,N,N,N,N,N,20221130
마마논마마,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,신사동,,525-22 번지,논현로175길,101-3,37.522574,127.021254,06028,서울특별시 강남구 논현로175길 101-3,서울특별시 강남구 신사동  525-22,025456677,17시30분-24시,토 17시30분-24시,N,N,N,N,N,N,N,N,20221130
마마라라마라탕,음식점/유흥시설,동아시아음식,중국,경기도,남양주시,평내동,,576-5 번지,평내로29번안길,30,37.64547,127.234284,12223,경기도 남양주시 평내로29번안길 30,경기도 남양주시 평내동  576-5,0315599800,월-금 11시30분-22시,토 11시30분-22시,Y,N,N,N,N,N,N,N,20221130
마마추,음식점/유흥시설,유럽음식,이탈리아,부산광역시,동래구,사직동,,93-6 번지,사직북로,4,35.196247,129.061361,47866,부산광역시 동래구 사직북로 4,부산광역시 동래구 사직동  93-6,050713742011,11시-21시,11시-21시,Y,N,N,N,N,N,N,N,20221130
마마타타,음식점/유흥시설,아프리카,미국 에티오피아 아프리카,,강릉시,지변동,,23-1 번지,경포로,33-25,37.773735,128.878709,25465,강원도 강릉시 경포로 33-25,강원도 강릉시 지변동 23-1,050713153391,화-금 12시-22시,토-일 12시-22시,Y,N,N,N,Y,N,N,N,20221130
마마파피톤,음식점/유흥시설,유럽음식,이탈리아,인천광역시,서구,당하동,,1028-1 번지,고산후로95번길,38,37.592778,126.694812,22682,인천광역시 서구 고산후로95번길 38,인천광역시 서구 당하동  1028-1,0325649747,,,N,N,N,N,N,N,N,N,20221130
마부마라탕&마라샹궈,음식점/유흥시설,동아시아음식,중국,서울특별시,강동구,성내동,,48-2 번지,천호대로158길,18,37.536705,127.126261,05379,서울특별시 강동구 천호대로158길 18,서울특별시 강동구 성내동 48-2,024881289,월-금 11시30분-23시,토-일 11시30분-23시,N,N,N,N,N,N,N,N,20221130
마부하이,음식점/유흥시설,동남아시아음식,필리핀 아시아,부산광역시,동구,초량동,,557-2 번지,중앙대로195번길,13,35.11501,129.0386,48818,부산광역시 동구 중앙대로195번길 13,부산광역시 동구 초량동 557-2,0514669817,00시-24시,00시-24시,N,N,N,N,N,N,N,N,20221130
마사 타코,음식점/유흥시설,남미음식,멕시코,서울특별시,강남구,신사동,,524-29 번지,압구정로10길,30-8,37.521999,127.021741,06028,서울특별시 강남구 압구정로10길 30-8,서울특별시 강남구 신사동 524-29,025456915,화-금 12시-22시,12시-22시,N,N,N,N,Y,N,N,N,20221130
마살라,음식점/유흥시설,인도아시아음식,인도,전라북도,전주시 완산구,중화산동2가,,261-16 번지,영선로,10,35.823028,127.123815,54981,전라북도 전주시 완산구 영선로 10,전라북도 전주시 완산구 중화산동2가 261-16,0632861226,화-금 12시-22시,12시-22시,Y,N,Y,N,N,N,N,N,20221130
마살라인디아 라페스타e동점,음식점/유흥시설,인도아시아음식,인도,경기도,고양시 일산동구,장항동,,763 번지,무궁화로,32-12,37.662358,126.767897,10401,경기도 고양시 일산동구 무궁화로 32-12,경기도 고양시 일산동구 장항동  763,0319038297,,,Y,N,N,N,N,N,N,N,20221130
마살라인디안레스토랑,음식점/유흥시설,인도아시아음식,인도,경기도,부천시,중동,,1162-9 번지,석천로169번길,30,37.503013,126.761296,14546,경기도 부천시 석천로169번길 30,경기도 부천시 중동  1162-9,0323262244,11시30분-22시,11시30분-22시,N,N,N,N,N,N,N,N,20221130
마살라키친,음식점/유흥시설,인도아시아음식,인도,서울특별시,동대문구,이문동,,288-40 번지,휘경로2길,4,37.595826,127.060986,02440,서울특별시 동대문구 휘경로2길 4,서울특별시 동대문구 이문동  288-40,029577858,12시-21시30분,토 12시-21시,N,N,N,N,N,N,N,N,20221130
마스터비엣,음식점/유흥시설,동남아시아음식,베트남,서울특별시,마포구,도화동,,51-1 번지,마포대로,49,37.540868,126.94689,04158,서울특별시 마포구 마포대로 49,서울특별시 마포구 도화동  51-1,07046474917,11시-20시30분,휴무,N,N,N,N,N,N,N,N,20221130
마시꾸나 용인점,음식점/유흥시설,동남아시아음식,기타,경기도,용인시 기흥구,서천동,,743 번지,서천로128번길,12,37.23731,127.071519,17107,경기도 용인시 기흥구 서천로128번길 12,경기도 용인시 기흥구 서천동  743,,,,N,N,N,N,N,N,N,N,20221130
마야,음식점/유흥시설,인도아시아음식,네팔 인도 아시아,대구광역시,북구,산격동,,1416 번지,대학로13길,1,35.891963,128.607538,41544,대구광역시 북구 대학로13길 1,대구광역시 북구 산격동 1416,0532149976,11시-22시,11시-22시,N,N,N,N,N,N,N,N,20221130
마야,음식점/유흥시설,동남아시아음식,네팔 인도,충청북도,진천군,광혜원면,광혜원리,249-9 번지,장기2길,8,36.990799,127.44525,27805,충청북도 진천군 장기2길 8,충청북도 진천군 광혜원면 광혜원리 249-9,0435320887,,,Y,N,N,N,N,N,N,N,20221130
마야루레스토랑,음식점/유흥시설,인도아시아음식,인도,경상북도,경산시,대동,,154-13 번지,청운로,23,35.837533,128.753402,38532,경상북도 경산시 청운로 23,경상북도 경산시 대동  154-13,050420153537,월-금 11시-22시,토-일 11시-22시,Y,N,N,N,N,N,N,N,20221130
마약훠궈&양꼬치,음식점/유흥시설,동아시아음식,중국,충청북도,진천군,진천읍,교성리,51-8 번지,중앙동로,21,36.851875,127.443813,27839,충청북도 진천군 중앙동로 21,충청북도 진천군 진천읍 교성리 51-8,050713219313,12시-24시,12시-24시,N,N,N,N,N,N,N,N,20221130
마오 양재점,음식점/유흥시설,동아시아음식,일본,서울특별시,서초구,양재동,,96-8 번지,양재천로,105,37.47679,127.040329,06748,서울특별시 서초구 양재천로 105,서울특별시 서초구 양재동 96-8 마오,025718875,11시30분-22시,11시30분-22시,N,N,N,N,N,N,N,N,20221130
마오 이태원점,음식점/유흥시설,동아시아음식,중국,서울특별시,용산구,이태원동,,228-6 번지,회나무로,57,37.540335,126.992923,04344,서울특별시 용산구 회나무로 57,서울특별시 용산구 이태원동 228-6,027938845,11시30분-22시,11시30분-22시,N,N,N,N,N,N,N,N,20221130
마우이보일링크랩,음식점/유흥시설,북미음식,미국,광주광역시,광산구,흑석동,,589 번지,풍영로101번안길,1-2,35.180912,126.811266,62234,광주광역시 광산구 풍영로101번안길 1-2,광주광역시 광산구 흑석동  589,07088886940,화-금 11시-23시,11시-23시,N,N,N,N,N,N,N,N,20221130
마운트에베레스트 레스토랑 제주,음식점/유흥시설,인도아시아음식,네팔 인도,제주특별자치도,제주시,일도일동,,1299-8 번지,중앙로7길,9,33.515021,126.525702,63277,제주특별자치도 제주시 중앙로7길 9,제주특별자치도 제주시 일도일동 1299-8,050713513563,11시-22시,11시-22시,N,N,N,N,N,N,N,N,20221130
마운틴80,음식점/유흥시설,유럽음식,이탈리아,서울특별시,용산구,이태원동,,72-5 번지,보광로59길,32,37.533966,126.992219,04391,서울특별시 용산구 보광로59길 32,서울특별시 용산구 이태원동  72-5,,,,N,N,N,N,N,N,N,N,20221130
마운틴피시텔레스토랑,음식점/유흥시설,인도아시아음식,인도,충청남도,천안시 동남구,대흥동,,95 번지,버들로,4,36.809053,127.14845,31129,충청남도 천안시 동남구 버들로 4,충청남도 천안시 동남구 대흥동  95,0415553612,11시-23시,11시-23시,N,N,N,N,N,N,N,N,20221130
마음의온도,음식점/유흥시설,유럽음식,이탈리아,서울특별시,영등포구,문래동2가,,19-6 번지,도림로133길,13,37.513187,126.894232,07290,서울특별시 영등포구 도림로133길 13,서울특별시 영등포구 문래동2가  19-6,050714167546,화-금 11시30분-17시,11시30분-17시,N,N,N,N,N,N,N,N,20221130
마이고기앤하노이식당,음식점/유흥시설,동남아시아음식,베트남,부산광역시,연제구,거제동,,1208 번지,종합운동장로,7,35.191267,129.062009,47500,부산광역시 연제구 종합운동장로 7,부산광역시 연제구 거제동  1208,,10시30분-21시,10시30분-21시,Y,N,N,N,N,N,N,N,20221130
마이베트남쌀국수,음식점/유흥시설,동남아시아음식,베트남,서울특별시,노원구,상계동,,639-1 번지,한글비석로,474,37.664815,127.06546,01671,서울특별시 노원구 한글비석로 474,서울특별시 노원구 상계동  639-1,029325333,,,N,N,N,N,N,N,N,N,20221130
마이쏭,음식점/유흥시설,북미음식,미국,서울특별시,강남구,신사동,,650-17 번지,도산대로45길,16-4,37.523344,127.035698,06021,서울특별시 강남구 도산대로45길 16-4,서울특별시 강남구 신사동 650-17,025180105,10시-20시,10시-20시,N,N,N,N,N,N,N,N,20221130
마이올드포스터,음식점/유흥시설,동남아시아음식,기타,서울특별시,성동구,성수동1가,,656-1659 번지,왕십리로2길,30,37.542785,127.048052,04779,서울특별시 성동구 왕십리로2길 30,서울특별시 성동구 성수동1가  656-1659,050713531530,18시-24시,18시-24시,N,N,N,N,N,N,N,N,20221130
마이치치스,음식점/유흥시설,유럽음식,이탈리아,경기도,성남시 분당구,백현동,,541 번지,판교역로146번길,20,37.392986,127.112059,13529,경기도 성남시 분당구 판교역로146번길 20,경기도 성남시 분당구 백현동  541,07074587406,10시30분-22시,10시30분-22시,Y,N,N,N,N,N,N,N,20221130
마이타이 스타필드 고양점,음식점/유흥시설,동남아시아음식,태국,경기도,고양시 덕양구,동산동,,370 번지,고양대로,1955,37.647202,126.895743,10595,경기도 고양시 덕양구 고양대로 1955,경기도 고양시 덕양구 동산동  370,,,,Y,N,N,N,N,N,N,N,20221130
마이프렌드쎄르지오,음식점/유흥시설,유럽음식,기타,서울특별시,강남구,신사동,,510-11 번지,압구정로2길,46,37.518767,127.020692,06034,서울특별시 강남구 압구정로2길 46,서울특별시 강남구 신사동  510-11,050713562904,16시30분-23시,16시30분-23시,N,N,N,N,N,N,N,N,20221130
마쯔,음식점/유흥시설,동아시아음식,일본,경기도,안양시 만안구,안양동,,674-269 번지,장내로,143,37.398116,126.92333,13992,경기도 안양시 만안구 장내로 143,경기도 안양시 만안구 안양동 674-269,050713097457,월-금 11시30분-20시30분,토-일 11시30분-20시30분,N,N,N,N,N,N,N,N,20221130
마쯔미라멘,음식점/유흥시설,동아시아음식,일본,대전광역시,유성구,어은동,,114-9 번지,어은로42번길,19,36.363131,127.358736,34139,대전광역시 유성구 어은로42번길 19,대전광역시 유성구 어은동 114-9,050713320953,11시-20시30분,11시-20시30분,N,N,N,N,N,N,N,N,20221130
마차푸처레레스토랑,음식점/유흥시설,인도아시아음식,인도,경기도,부천시,상동,,544-4 번지,상동로,87,37.505228,126.752442,14544,경기도 부천시 상동로 87,경기도 부천시 상동  544-4,050713537803,11시-21시,11시-21시,Y,N,N,N,N,N,N,N,20221130
마초리브레,음식점/유흥시설,남미음식,멕시코,광주광역시,동구,지산동,,509-1 번지,필문대로287번길,19-32,35.145699,126.929463,61449,광주광역시 동구 필문대로287번길 19-32,광주광역시 동구 지산동  509-1,07041771052,,,Y,N,N,N,N,N,N,N,20221130
마초쉐프 강남본점,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,역삼동,,616-14 번지,강남대로106길,29,37.503498,127.027842,06124,서울특별시 강남구 강남대로106길 29,서울특별시 강남구 역삼동  616-14,050713928886,11시30분-22시,11시30분-22시,N,N,N,N,N,N,N,N,20221130
마초쉐프 건대점,음식점/유흥시설,유럽음식,이탈리아,서울특별시,광진구,화양동,,5-3 번지,능동로,125,37.542218,127.071355,05017,서울특별시 광진구 능동로 125,서울특별시 광진구 화양동  5-3,050713448892,11시30분-22시,11시30분-22시,N,N,N,N,N,N,N,N,20221130
마초쉐프 광명점,음식점/유흥시설,유럽음식,이탈리아,경기도,광명시,소하동,,1343-6 번지,소하로,94,37.44643,126.883449,14316,경기도 광명시 소하로 94,경기도 광명시 소하동  1343-6,050714488885,11시30분-22시,11시30분-22시,Y,N,N,N,N,N,N,N,20221130
마초쉐프 구월점,음식점/유흥시설,유럽음식,이탈리아,인천광역시,남동구,구월동,,1457-1 번지,성말로13번길,15,37.446301,126.701827,21573,인천광역시 남동구 성말로13번길 15,인천광역시 남동구 구월동  1457-1,050714038874,11시30분-22시,11시30분-22시,Y,N,N,N,N,N,N,N,20221130
마초쉐프 범계점,음식점/유흥시설,유럽음식,이탈리아,경기도,안양시 동안구,호계동,,1044-5 번지,평촌대로223번길,16,37.391345,126.954545,14072,경기도 안양시 동안구 평촌대로223번길 16,경기도 안양시 동안구 호계동  1044-5,050714238877,11시30분-22시,11시30분-22시,Y,N,N,N,N,N,N,N,20221130
마초쉐프 천안점,음식점/유흥시설,유럽음식,이탈리아,충청남도,천안시 동남구,신부동,,461-14 번지,먹거리11길,31,36.818361,127.15592,31123,충청남도 천안시 동남구 먹거리11길 31,충청남도 천안시 동남구 신부동  461-14,050713557587,11시30분-22시,11시30분-22시,N,N,N,N,N,N,N,N,20221130
마쵸무쵸,음식점/유흥시설,남미음식,멕시코,경기도,양평군,서종면,문호리,702 번지,북한강로,815,37.609996,127.34929,12502,경기도 양평군 북한강로 815,경기도 양평군 서종면 문호리 702,050713356333,"월,수,목,금 12시-23시",12시-23시,Y,N,N,N,Y,N,N,N,20221130
마츄피츄,음식점/유흥시설,유럽음식,프랑스 유럽,서울특별시,강남구,논현동,,254-22 번지,선릉로121길,15,37.513692,127.041011,06100,서울특별시 강남구 선릉로121길 15,서울특별시 강남구 논현동 254-22,,10시-20시,10시-20시,N,N,N,N,Y,N,N,N,20221130
마츠,음식점/유흥시설,유럽음식,이탈리아,강원도,속초시,도문동,,1569-3 번지,하도문길,14-1,38.162292,128.59994,24902,강원도 속초시 하도문길 14-1,강원도 속초시 도문동 1569-3,0336315201,"월,화,목,금 11시-23시",11시-23시,Y,N,Y,Y,N,N,N,N,20221130
마치,음식점/유흥시설,동아시아음식,일본,서울특별시,동대문구,장안동,,339-19 번지,장한로18길,57,37.56783,127.072068,02639,서울특별시 동대문구 장한로18길 57,서울특별시 동대문구 장안동 339-19 축제빌딩,0233948344,11시30분-01시,토 11시30분-01시,N,N,N,N,N,N,N,N,20221130
마카멜롱,음식점/유흥시설,유럽음식,프랑스,서울특별시,용산구,이태원동,,225-143 번지,회나무로,36,37.539619,126.9906,04345,서울특별시 용산구 회나무로 36,서울특별시 용산구 이태원동 225-143,,10시-22시,10시-22시,N,N,N,N,N,N,N,N,20221130
마카오훠궈 송도트리플스트리트점,음식점/유흥시설,동아시아음식,중국,인천광역시,연수구,송도동,,174-3 번지,송도과학로16번길,33-2,37.380325,126.660101,21984,인천광역시 연수구 송도과학로16번길 33-2,인천광역시 연수구 송도동  174-3,050714126779,월-금 11시-22시,"토 11시-22시,일 17시-22시",N,N,N,N,N,N,N,N,20221130
마켓오 압구정점,음식점/유흥시설,북미음식,미국 이탈리아,서울특별시,강남구,논현동,,94 번지,도산대로,334,37.522604,127.038542,06055,서울특별시 강남구 도산대로 334,서울특별시 강남구 논현동 94,025150105,,11시-23시,N,Y,Y,Y,N,N,N,N,20221130
마켓포,음식점/유흥시설,동남아시아음식,베트남,서울특별시,마포구,성산동,,51-14 번지,월드컵북로,128,37.564543,126.912804,03972,서울특별시 마포구 월드컵북로 128,서울특별시 마포구 성산동  51-14,050713528997,월-금 10시-22시,토 10시-17시,Y,N,N,N,Y,N,N,N,20221130
마크사이공,음식점/유흥시설,동남아시아음식,베트남,서울특별시,서초구,방배동,,755-14 번지,방배중앙로,204,37.497332,126.985686,06552,서울특별시 서초구 방배중앙로 204,서울특별시 서초구 방배동  755-14,025915871,11시-21시,11시-21시,Y,N,N,N,N,N,N,N,20221130
마크사이공제주,음식점/유흥시설,동남아시아음식,베트남,제주특별자치도,제주시,한림읍,금능리,1420 번지,금능길,79,33.389246,126.231379,63010,제주특별자치도 제주시 금능길 79,제주특별자치도 제주시 한림읍 금능리 1420,050713585872,월-금 10시-19시30분,토 10시-19시30분,Y,N,N,N,Y,N,N,N,20221130
마토네 Wine Bar,음식점/유흥시설,유럽음식,이탈리아,제주특별자치도,서귀포시,서홍동,,2598 번지,홍중로,119-2,33.263643,126.555194,63584,제주특별자치도 서귀포시 홍중로 119-2,제주특별자치도 서귀포시 서홍동  2598,050714485377,금 19시30분-02시,토 19시30분-02시,Y,N,N,N,N,N,N,N,20221130
마포,음식점/유흥시설,동남아시아음식,베트남,서울특별시,마포구,구수동,,68-12 번지,토정로14길,12,37.544783,126.932416,04093,서울특별시 마포구 토정로14길 12,서울특별시 마포구 구수동  68-12,050713413612,월-금 11시30분-21시,,N,N,N,N,N,N,N,N,20221130
마하라자,음식점/유흥시설,인도아시아음식,인도,경상남도,창원시 성산구,중앙동,,98-3 번지,용지로,74,35.22244,128.676637,51522,경상남도 창원시 성산구 용지로 74,경상남도 창원시 성산구 중앙동 98-3 전원상가,0552755043,월-금 10시30분-22시30분,토-일 10시30분-22시30분,Y,N,N,Y,N,N,N,N,20221130
마하싯다커리,음식점/유흥시설,인도아시아음식,인도,강원도,춘천시,죽림동,,189 번지,중앙로67번길,18,37.878413,127.727073,24354,강원도 춘천시 중앙로67번길 18,강원도 춘천시 죽림동  189,0332546600,월-금 11시30분-22시,토-일 11시30분-22시,Y,N,N,N,N,N,N,N,20221130
마하차이,음식점/유흥시설,동남아시아음식,기타,전라남도,나주시,산포면,매성리,1265-7 번지,산포로,468-10,35.039342,126.804507,58214,전라남도 나주시 산포로 468-10,전라남도 나주시 산포면 매성리 1265-7,,,,N,N,N,N,N,N,N,N,20221130
마하차이 서울숲점,음식점/유흥시설,동남아시아음식,태국,서울특별시,성동구,성수동1가,,661-4 번지,왕십리로,94,37.545874,127.044954,04778,서울특별시 성동구 왕십리로 94,서울특별시 성동구 성수동1가  661-4,024687799,월-금 11시-21시,토-일 11시-21시,N,N,N,N,N,N,N,N,20221130
마하차이 성수본점,음식점/유흥시설,동남아시아음식,태국,서울특별시,성동구,성수동2가,,339-22 번지,뚝섬로,399,37.538951,127.055086,04784,서울특별시 성동구 뚝섬로 399,서울특별시 성동구 성수동2가  339-22,050713175678,월-금 11시-21시,토-일 11시-21시,Y,N,N,N,N,N,N,N,20221130
마히나비건테이블,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,신사동,,547-5 번지,논현로175길,75,37.523657,127.023049,06029,서울특별시 강남구 논현로175길 75,서울특별시 강남구 신사동  547-5,050713715331,화-금 11시30분-22시,토-일 11시30분-22시,N,N,N,N,N,N,N,N,20221130
막마오,음식점/유흥시설,동남아시아음식,태국,전라북도,군산시,산북동,,3560 번지,칠성안2길,38,35.966863,126.679084,54162,전라북도 군산시 칠성안2길 38,전라북도 군산시 산북동  3560,,,,N,N,N,N,N,N,N,N,20221130
만강홍,음식점/유흥시설,동아시아음식,중국,인천광역시,연수구,동춘동,,925-7 번지,원인재로,88,37.406486,126.678294,21974,인천광역시 연수구 원인재로 88,인천광역시 연수구 동춘동 925-7 대우삼환아파트,0328118946,화-금 11시-21시,토-일 11시-21시,Y,N,N,N,N,N,N,N,20221130
만경,음식점/유흥시설,동아시아음식,일본,제주특별자치도,제주시,이도이동,,1180-11 번지,광양13길,6-2,33.498591,126.531234,63209,제주특별자치도 제주시 광양13길 6-2,제주특별자치도 제주시 이도이동  1180-11,050713344794,17시-01시,17시-01시,N,N,N,N,N,N,N,N,20221130
만나,음식점/유흥시설,동남아시아음식,기타,경기도,광주시,역동,,8-8 번지,역동로34번길,33,37.407887,127.257279,12759,경기도 광주시 역동로34번길 33,경기도 광주시 역동  8-8,,,,N,N,N,N,N,N,N,N,20221130
만나멘,음식점/유흥시설,동아시아음식,일본,강원도,원주시,단구동,,1511-1 번지,서원대로,392,37.33103,127.948457,26484,강원도 원주시 서원대로 392,강원도 원주시 단구동  1511-1,050714698278,월-금 10시-21시,토 11시-21시,Y,N,N,N,N,N,N,N,20221130
만나서즐거운집,음식점/유흥시설,동남아시아음식,베트남,인천광역시,서구,가좌동,,143-92 번지,건지로284번길,53,37.494402,126.673585,22834,인천광역시 서구 건지로284번길 53,인천광역시 서구 가좌동 143-92,,월-금 07시-22시,토-일 07시-22시,N,N,N,N,N,N,N,N,20221130
만남,음식점/유흥시설,동남아시아음식,기타,광주광역시,광산구,월곡동,,535-4 번지,사암로279번길,11,35.169381,126.808376,62345,광주광역시 광산구 사암로279번길 11,광주광역시 광산구 월곡동  535-4,,,,N,N,N,N,N,N,N,N,20221130
만다린,음식점/유흥시설,동아시아음식,중국,경기도,안양시 만안구,석수동,,317-10 번지,안양로,459-1,37.410859,126.911009,13970,경기도 안양시 만안구 안양로 459-1,경기도 안양시 만안구 석수동 317-10,0314713310,월-금 11시-20시30분,,N,N,N,N,N,N,N,N,20221130
만다린,음식점/유흥시설,동아시아음식,중국,대전광역시,중구,호동,,10-10 번지,대종로151번길,1,36.30521,127.448729,35066,대전광역시 중구 대종로151번길 1,대전광역시 중구 호동 10-10,0422841800,월-금 11시-21시,토-일 11시-21시,Y,N,N,N,N,N,N,N,20221130
만다린,음식점/유흥시설,동아시아음식,중국,서울특별시,서초구,방배동,,1020-2 번지,방배로6길,10-15,37.478484,127.00061,06705,서울특별시 서초구 방배로6길 10-15,서울특별시 서초구 방배동 1020-2 대영빌딩,025813366,"월-화 11시-21시10분,수-금 11시-21시10분",토-일 11시-21시10분,N,N,N,N,N,N,N,N,20221130
만다린,음식점/유흥시설,동아시아음식,중국,인천광역시,중구,항동7가,,58-57 번지,연안부두로43번길,11,37.454359,126.602634,22348,인천광역시 중구 연안부두로43번길 11,인천광역시 중구 항동7가 58-57,0328835599,월-금 11시-21시,토-일 11시-21시,Y,N,N,N,N,N,N,N,20221130
만두,음식점/유흥시설,동아시아음식,중국,대구광역시,달서구,죽전동,,257-13 번지,와룡로,223,35.852661,128.536972,42632,대구광역시 달서구 와룡로 223,대구광역시 달서구 죽전동 257-13,0535671771,월-금 11시-21시,토 11시-21시,N,N,N,N,N,N,N,N,20221130
만들기전문점,음식점/유흥시설,유럽음식,이탈리아,경기도,군포시,산본동,,1131-2 번지,산본로323번길,10-22,37.360162,126.932169,15865,경기도 군포시 산본로323번길 10-22,경기도 군포시 산본동  1131-2,07077396512,화-금 11시30분-23시,토-일 11시30분-23시,N,N,N,N,N,N,N,N,20221130
만보성,음식점/유흥시설,동아시아음식,중국,서울특별시,종로구,관철동,,32-5 번지,종로12길,22,37.569021,126.985521,03189,서울특별시 종로구 종로12길 22,서울특별시 종로구 관철동  32-5,027308944,월-금 11시-21시,토-일 11시-21시,N,N,N,N,N,N,N,N,20221130
만복초밥,음식점/유흥시설,동아시아음식,일본,경상남도,남해군,남해읍,남변리,370-1 번지,화전로38번길,25-1,34.83729,127.895068,52424,경상남도 남해군 남해읍 화전로38번길 25-1,경상남도 남해군 남해읍 남변리 370-1 만복,0558646801,월-금 8시30분-23시,토-일 8시30분-23시,Y,N,N,N,N,N,N,N,20221130
만요,음식점/유흥시설,동아시아음식,일본,서울특별시,강남구,논현동,,248-7 번지,언주로,640,37.514098,127.035885,06098,서울특별시 강남구 언주로 640,서울특별시 강남구 논현동 248-7 임피리얼 팰리스호텔,025118152,월-금 12시-21시30분,토-일 12시-21시30분,Y,N,N,N,N,N,N,N,20221130
만우장,음식점/유흥시설,동아시아음식,중국,부산광역시,수영구,광안동,,146-17 번지,수영로594번길,28-2,35.158507,129.114813,48294,부산광역시 수영구 수영로594번길 28-2,부산광역시 수영구 광안동 146-17,0517533358,"월 11시-20시50분,수-금 11시-20시50분",토-일 11시-20시50분,N,N,N,N,N,N,N,N,20221130
